INF051,Patna Tech World,YouTube,Bihar,Patna,"Hindi","Tech",420000,210000,90000,250000,140000,biz@patnatech.in
INF052,Patna Food Junction,YouTube,Bihar,Patna,"Hindi","Food",310000,160000,75000,200000,110000,food@patna.in
INF053,Gurgaon Startup Talks,YouTube,Haryana,Gurgaon,"English","Education|Business",540000,270000,120000,320000,180000,biz@gurgaonstartup.in
INF054,Gurgaon Fitness Club,YouTube,Haryana,Gurgaon,"Hindi","Fitness",260000,130000,65000,170000,95000,fit@gurgaon.in
INF055,Kolkata Foodies,YouTube,West Bengal,Kolkata,"Bengali|Hindi","Food",480000,240000,100000,260000,150000,biz@kolkatafood.in
INF056,Kolkata Tech Review,YouTube,West Bengal,Kolkata,"Bengali|English","Tech",390000,200000,85000,220000,120000,tech@kolkata.in
INF057,Ranchi Fitness Pro,YouTube,Jharkhand,Ranchi,"Hindi","Fitness",180000,90000,50000,120000,70000,fit@ranchi.in
INF058,Ranchi Travel Vlogs,YouTube,Jharkhand,Ranchi,"Hindi","Travel",210000,110000,60000,150000,85000,travel@ranchi.in
INF059,Raipur Tech Hub,YouTube,Chhattisgarh,Raipur,"Hindi","Tech",330000,160000,75000,190000,105000,biz@raipurtech.in
INF060,Raipur Food Diaries,YouTube,Chhattisgarh,Raipur,"Hindi","Food",270000,140000,65000,170000,95000,food@raipur.in
INF061,Ludhiana Fitness Studio,YouTube,Punjab,Ludhiana,"Punjabi|Hindi","Fitness",350000,170000,80000,210000,115000,fit@ludhiana.in
INF062,Ludhiana Food Lovers,YouTube,Punjab,Ludhiana,"Punjabi","Food",290000,150000,70000,180000,100000,food@ludhiana.in
INF063,Guwahati Travel Guide,YouTube,Assam,Guwahati,"Hindi","Travel",260000,130000,60000,160000,90000,travel@assam.in
INF064,Guwahati Tech Talks,YouTube,Assam,Guwahati,"English|Hindi","Tech",310000,170000,75000,200000,110000,tech@assam.in
INF065,Bhubaneswar Foodies,YouTube,Odisha,Bhubaneswar,"Odia|Hindi","Food",340000,180000,85000,210000,120000,food@odisha.in
INF066,Bhubaneswar Fitness Hub,YouTube,Odisha,Bhubaneswar,"Odia","Fitness",220000,115000,55000,140000,80000,fit@odisha.in
INF067,Surat Tech World,YouTube,Gujarat,Surat,"Gujarati|English","Tech",450000,230000,110000,280000,155000,biz@surattech.in
INF068,Surat Food Trail,YouTube,Gujarat,Surat,"Gujarati","Food",300000,150000,70000,190000,105000,food@surat.in
INF069,Jaipur Travel Stories,YouTube,Rajasthan,Jaipur,"Hindi","Travel",360000,190000,90000,240000,130000,travel@jaipur.in
INF070,Jaipur Beauty Studio,YouTube,Rajasthan,Jaipur,"Hindi","Beauty",250000,120000,60000,150000,85000,beauty@jaipur.in
INF071,Indore Tech Simplified,YouTube,Madhya Pradesh,Indore,"Hindi","Tech",400000,210000,95000,260000,145000,biz@indoretech.in
INF072,Indore Fitness Club,YouTube,Madhya Pradesh,Indore,"Hindi","Fitness",280000,140000,65000,180000,100000,fit@indore.in
INF073,Chennai Startup Show,YouTube,Tamil Nadu,Chennai,"English|Tamil","Education|Business",620000,300000,150000,400000,220000,biz@chennaistartup.in
INF074,Coimbatore Travel Tales,YouTube,Tamil Nadu,Coimbatore,"Tamil","Travel",310000,150000,75000,200000,110000,travel@coimbatore.in
INF075,Noida Gaming Zone,YouTube,Uttar Pradesh,Noida,"Hindi","Gaming",550000,300000,130000,350000,190000,gaming@noida.in
INF076,Agra Tech Reviews,YouTube,Uttar Pradesh,Agra,"Hindi","Tech",270000,140000,65000,170000,95000,tech@agra.in
INF077,Mumbai Gaming Hub,YouTube,Maharashtra,Mumbai,"Hindi|English","Gaming",720000,380000,150000,420000,230000,gaming@mumbai.in
INF078,Pune Travel Diaries,YouTube,Maharashtra,Pune,"English","Travel",390000,210000,100000,260000,145000,travel@pune.in
INF079,Nagpur Beauty Talks,YouTube,Maharashtra,Nagpur,"Hindi","Beauty",230000,115000,60000,150000,85000,beauty@nagpur.in
INF080,Thane Food Stories,YouTube,Maharashtra,Thane,"Hindi","Food",260000,130000,65000,170000,95000,food@thane.in
INF081,Bangalore Gaming Arena,YouTube,Karnataka,Bangalore,"English","Gaming",680000,350000,140000,380000,210000,gaming@blr.in
INF082,Mysore Travel World,YouTube,Karnataka,Mysore,"Kannada","Travel",210000,100000,50000,130000,75000,travel@mysore.in
INF083,Hyderabad Startup Talks,YouTube,Telangana,Hyderabad,"English","Education|Business",580000,290000,140000,360000,200000,biz@hydstartup.in
INF084,Hyderabad Beauty Lounge,YouTube,Telangana,Hyderabad,"Telugu","Beauty",310000,160000,75000,200000,110000,beauty@hyderabad.in
INF085,Kochi Travel Diaries,YouTube,Kerala,Kochi,"Malayalam","Travel",350000,180000,85000,220000,120000,travel@kochi.in
INF086,Kochi Fitness Hub,YouTube,Kerala,Kochi,"Malayalam","Fitness",260000,130000,65000,170000,95000,fit@kochi.in
INF087,Ahmedabad Gaming Pro,YouTube,Gujarat,Ahmedabad,"Gujarati","Gaming",430000,220000,100000,270000,150000,gaming@ahmedabad.in
INF088,Ahmedabad Fitness Club,YouTube,Gujarat,Ahmedabad,"Gujarati","Fitness",300000,150000,70000,190000,105000,fit@ahmedabad.in
INF089,Varanasi Tech Talks,YouTube,Uttar Pradesh,Varanasi,"Hindi","Tech",290000,150000,70000,180000,100000,tech@varanasi.in
INF090,Lucknow Beauty World,YouTube,Uttar Pradesh,Lucknow,"Hindi","Beauty",240000,120000,60000,150000,85000,beauty@lucknow.in
INF091,Delhi Gaming Squad,YouTube,Delhi,New Delhi,"Hindi|English","Gaming",650000,330000,150000,400000,225000,gaming@delhi.in
INF092,Delhi Travel Hub,YouTube,Delhi,New Delhi,"English","Travel",470000,230000,100000,270000,150000,travel@delhi.in
INF093,Chandigarh Tech Studio,YouTube,Chandigarh,Chandigarh,"English","Tech",360000,190000,85000,220000,120000,tech@chd.in
INF094,Chandigarh Foodies,YouTube,Chandigarh,Chandigarh,"Hindi","Food",310000,160000,75000,200000,110000,food@chd.in
INF095,Goa Fitness Club,YouTube,Goa,Panaji,"English","Fitness",220000,115000,55000,140000,80000,fit@goa.in
INF096,Goa Tech Reviews,YouTube,Goa,Panaji,"English","Tech",280000,140000,65000,170000,95000,tech@goa.in
INF097,Bhopal Travel Stories,YouTube,Madhya Pradesh,Bhopal,"Hindi","Travel",240000,120000,60000,150000,85000,travel@bhopal.in
INF098,Bhopal Gaming Zone,YouTube,Madhya Pradesh,Bhopal,"Hindi","Gaming",310000,160000,75000,200000,110000,gaming@bhopal.in
INF099,Kolkata Fitness Pro,YouTube,West Bengal,Kolkata,"Bengali","Fitness",330000,170000,80000,210000,115000,fit@kolkata.in
INF100,Kolkata Travel Diaries,YouTube,West Bengal,Kolkata,"Bengali|English","Travel",420000,210000,100000,260000,150000,travel@kolkata.in
INF101,Gurgaon Tech Simplified,YouTube,Haryana,Gurgaon,"English","Tech",500000,260000,120000,320000,180000,biz@gurgaontech.in
INF102,Gurgaon Food Stories,YouTube,Haryana,Gurgaon,"Hindi","Food",350000,170000,80000,210000,115000,food@gurgaon.in
INF103,Patna Fitness World,YouTube,Bihar,Patna,"Hindi","Fitness",230000,115000,60000,150000,85000,fit@patna.in
INF104,Patna Travel Hub,YouTube,Bihar,Patna,"Hindi","Travel",270000,140000,65000,170000,95000,travel@patna.in
INF105,Raipur Gaming Arena,YouTube,Chhattisgarh,Raipur,"Hindi","Gaming",260000,130000,65000,170000,95000,gaming@raipur.in
INF106,Ranchi Tech Simplified,YouTube,Jharkhand,Ranchi,"Hindi","Tech",310000,160000,75000,200000,110000,tech@ranchi.in
INF107,Ludhiana Travel Hub,YouTube,Punjab,Ludhiana,"Punjabi","Travel",280000,140000,65000,180000,100000,travel@ludhiana.in
INF108,Guwahati Fitness Pro,YouTube,Assam,Guwahati,"Hindi","Fitness",240000,120000,60000,150000,85000,fit@guwahati.in
INF109,Bhubaneswar Tech Talks,YouTube,Odisha,Bhubaneswar,"Odia|English","Tech",330000,170000,80000,210000,115000,tech@bhubaneswar.in
INF110,Surat Beauty Studio,YouTube,Gujarat,Surat,"Gujarati","Beauty",260000,130000,65000,170000,95000,beauty@surat.in
INF111,Jaipur Gaming World,YouTube,Rajasthan,Jaipur,"Hindi","Gaming",390000,200000,90000,240000,130000,gaming@jaipur.in
INF112,Indore Travel Hub,YouTube,Madhya Pradesh,Indore,"Hindi","Travel",350000,180000,85000,220000,120000,travel@indore.in
INF113,Chennai Gaming Arena,YouTube,Tamil Nadu,Chennai,"Tamil","Gaming",720000,380000,150000,420000,230000,gaming@chennai.in
INF114,Coimbatore Fitness Club,YouTube,Tamil Nadu,Coimbatore,"Tamil","Fitness",310000,150000,75000,200000,110000,fit@coimbatore.in
INF115,Noida Beauty World,YouTube,Uttar Pradesh,Noida,"Hindi","Beauty",270000,140000,65000,170000,95000,beauty@noida.in
INF116,Mumbai Startup Show,YouTube,Maharashtra,Mumbai,"English","Education|Business",980000,500000,200000,500000,275000,biz@mumbaistartup.in
